title,detail
아직 3개월 남았는데 벌써부터 복직 걱정이에요…,"안녕하세요 맘님들!
이제 아기가 100일 조금 넘었고, 저는 출산휴가 3개월 + 육아휴직 3개월 쓰고 8월 복직 예정인 초보 직장맘이에요.
아직 복직까지 3개월 정도 남았는데…
벌써부터 마음이 싱숭생숭하네요.
아기랑 하루 종일 붙어 있다 보니, 떨어질 생각만 해도 벌써 눈물이 나요.
그런데 또 회사 일도 어느 정도는 감각을 되살려야 할 것 같고,
아기 돌보느라 체력은 바닥이라 이것저것 걱정이 많아요.
특히 복직 전에 어떤 준비들을 해두면 좋을지
(예: 아기 수면 루틴, 이유식 시작 시기, 수유 방법 등)
마음은 어떻게 다잡아야 할지 너무 궁금해요.
요즘 복직하신 선배 맘들 글 보면 대단하다는 생각만 들고,
저도 잘 해낼 수 있을까 스스로 의문이 들어요.
지금 이 시기에 해두면 좋은 일들이나
조금이라도 마음이 편해질 팁들 있으면 꼭 듣고 싶어요.
읽어주셔서 감사합니다!
복직 앞두고 계신 맘님들 모두 힘내세요…!!"
6+6 육아휴직 급여 신청,"남편은 작년 11월부터 육아휴직 했고요
저는 이번해 3월부터 휴직했어요
그런데 이번 4월 급여신청하려고 보니깐
1-1 ,1-2 질문이 있더라고요
6+6 신청하신 분들 이거 눌러야 하나요?"
6+6육아휴직,"아무리봐도 무슨말인지 모르겠어요ㅠ
신랑이 6개월쓰고 제가 최대로 쓰려는데 전 18개월가능한건가요??
통상임금 신랑380 저250인데
신랑먼저 육휴들어가고 3개월쯤 저도 육휴들어가려하는데
육아휴직비 어떻게 나오는지 계산해주실 맘 계실까요?"
육아단축근로,"지금 회사 출근 8시 퇴근 5시반인데 30분은 수당으로 맞춰서 6시퇴근해서 연봉이정해졌거든요
육아휴직후 복직하려는데 남편이 출장이잦은편이라 등원이힘든데 8개월아기를 7시반에데려다 주려니 지금 어린이집에서 그렇게일찍오는아이도없고 선생님과상담으로는 힘들어할거다
6시반에마치는것도 이렇게이야기하셔서
육아휴직 6개월썻거든요 원래는 8개월 쓰려했으나 회사서 2달일찍와달래서..근데막상복직하려니 마음이
육아단축이라도 해달라요청드렸더니 그만둔다하니 회사서는 1시간 늦게 1시간 일찍퇴근 그래도 9시출근 5시퇴근이라 아이는 8시반 전에는가야하거든요 첫째랑 어린이집이달라서둘다등원하려면
첫째9시 10분에 집앞에버스오고
둘째는 가정이라9시보내고 출근하면 9시 40분쯤도착할것같아
10시출근 4시퇴근으로 총 4시간 단축해달라하고싶은데 가능한지
이러면 돈도많이 깍이는지ㅠ
써보신분 어떤가용"
남편 육아휴직신청 날짜,"안녕하세요 남편이 저쓰고 난다음에 육아휴직을 신청햇는데요
4월 중순에 신청했으면 5월중순부터 육아휴직 급여를 신청하면되는건가용?"
어린이집 고민,"어린이집 대기 중인데 참 마음이 그렇네요
저는 곧 복직이고 남편이 육휴 들어갈건데
남편이랑 둘이 집에서 잘 있을지도 걱정이고
물론 생각보다 잘 해줄거라는건 알고 있는데
주위에 비슷한 또래들 거의 어린이집 가는거 보니까
혹시라도 가정보육하면서 뒤쳐지지는 않을까 그런 고민이 생깁니다 근처에 입소할 수 있으면 바로 보낼 것 같은데 멀리 보내자니 또 등하원도 번거롭고 나중에 옮기게 되면 또 적응해야하고 이것저것 고민이 많은 밤이네요🥲"
남편 육아휴직,"6+6 때문에 남편이 육휴를 최소 3개월은 쓸 예정인데요.
1. 아기 태어나고 초반 3개월에 같이 쓰기
2. 엄마 육휴 종료 후 남편이 이어서 조금이라도 길데 쓰기
뭐가 더 나을까요? 주변 의견도 갈리네용"
산전45일 산후휴가45일 꼭..?,"안녕하세요
9월 8일 예정일인 곧 22주차 아들맘이에요!
지금 유치원에 근무 중인데 조금씩 버거움이 느껴지고 있어요
찾아보니 출산후 45일이상을 보장해야 한다고 하는데,,,
산전 90일을 통으로 쓰거나
산전 50일 산후 40일 같이 쪼개서 사용가능한가요??
선배맘들 댓글 부탁드려요 🥹"
막달까지 일하는거 힘들까요?ㅠㅠ,"보통 육아휴직 언제부터 들어가시나요??!!
막달까지 일하는거 많이 힘들까요ㅜㅜ
아가랑 최대한 오래 있고 싶어서.. 막달까지 일할까 생각중인데 많이 힘들까요???
다들 언제 들어가시는지 궁금해요!!!"
가족회사 육아휴직이요~~,"가족회사 육아휴직은 되게 까다롭게 심사한다던데,
혹시
아버님 회사였다가, 아는 지인분께 물려주시고, 현재는 아버님이 고문으로 계신회사에 제가 경리로 근무중이거든요ㅎ
저는 내년출산예정, 아버님은 올해 말 정년퇴직 예정이신데
이런경우도 가족회사, 지인회사(까다로운심사)에 해당될까요??"
육아휴직후 사후지급금관련 문의드려요~,"둘째가생기는바람에 중간에 산전육휴를 좀쓰려고하는데
첫째육휴끝나구
2/4~6/5 근무하구
6/6~7/5 둘째 산전육휴쓰고
7/6일부터 둘째출산휴가들어가려는데
첫째낳고 복직후 산전육휴중간에 썻다가 출산휴가쓰더라도 6개월근무만햇으면 중간에 육휴써도 상관없이
사후지급금 받을수잇나요?"
남편과 육아휴직 6+6,"5월20일부터
남편과 육아휴직 6+6
동시시작인데 이해가잘안가요ㅜ
남편은 평균월230 저는 월320 인데
6달동안 각각얼마받는지 알수있을까요?
도와주세요~~"
부부 육아휴직,"제가 육아휴직을25년 4월부터 26년3월까지 다 쓰는데
남편이 11월부터 육아휴직 쓰려고 하는데 이런경우에도 둘다 18개월씩 총 3년 쓸 수 있나요~?"
32주부터 단축근무 사용이 가능하잖아요~,"현재 31주0일인데 자궁경부길이가 0.7센치에요..
저번주 검진때 전원해야된다고하여 삼성서울병원에 갔는데 다행이 수축은 없어서 우선 집에서 조심하고 있다가 32주에 다시 진료보기로 했어요..
아직 수축은 없으나 진통오면 바로 응급실로 와야된다구 하였구요ㅜㅜ
재택근무 중인데 종일 앉아서 있다보니 걱정이 되가지고 단축근무를 할까 싶은데요.
단축근무시에 육아휴직기간에 영향을 줄까요?
혹 영향을 미친다면 지금 첫째가 12살인데 그럼 첫째로 육아휴직을 쓰고있다가 출산휴가 들어가는게 나을까요? 갑작스럽게 생각지도 못한 조산기로 인해 걱정이 많네요ㅜㅜ조언 부탁드릴게요!"
육아휴직 잘 아시는분!,"현재 임신 10주차고 서서 일하는 직업이라 일찍 육아휴직에 들어가려고 합니다.
노무사에 물어보니 남편이 출산휴가 3개월을 써야 1년6개월을 쓸수 있다고 하더라구요!
그럼
남편이 출산휴가쓰는 시점은 언제일까요?
제가 휴가쓰고있는 중에 써야되는건가요?
그리고 1년6개월을 쓰면 1년 급여는 보았는데 나머지 6개월에대한 급여정보는 없어서요 나오는건가요?"
아직 3개월 남았는데 벌써부터 복직 걱정이에요…,"안녕하세요 맘님들!
이제 아기가 100일 조금 넘었고, 저는 출산휴가 3개월 + 육아휴직 3개월 쓰고 8월 복직 예정인 초보 직장맘이에요.
아직 복직까지 3개월 정도 남았는데…
벌써부터 마음이 싱숭생숭하네요.
아기랑 하루 종일 붙어 있다 보니, 떨어질 생각만 해도 벌써 눈물이 나요.
그런데 또 회사 일도 어느 정도는 감각을 되살려야 할 것 같고,
아기 돌보느라 체력은 바닥이라 이것저것 걱정이 많아요.
특히 복직 전에 어떤 준비들을 해두면 좋을지
(예: 아기 수면 루틴, 이유식 시작 시기, 수유 방법 등)
마음은 어떻게 다잡아야 할지 너무 궁금해요.
요즘 복직하신 선배 맘들 글 보면 대단하다는 생각만 들고,
저도 잘 해낼 수 있을까 스스로 의문이 들어요.
지금 이 시기에 해두면 좋은 일들이나
조금이라도 마음이 편해질 팁들 있으면 꼭 듣고 싶어요.
읽어주셔서 감사합니다!
복직 앞두고 계신 맘님들 모두 힘내세요…!!"
사후육아휴직금 관련 문의드려요~~!!,"23년 24년 연년생 키우고 있어요 25년 3월에 복직했는데요!
23년 1월~24년 12월까지의 사후육아휴직금 관련해서 궁금증이 생겨서요~!
사후 육아휴직금 첫째꺼는 3개월 둘째 출산휴가 급여명세서와 둘째육아휴직 종료 후 복직해서 3개월 재직하고 급여명세서 첨부하면 받을수 있다는글을 봤는데 맞나요...?ㅠ
위 내용이 맞으면요.....
출산휴가 3개월중에 2개월은 직장에서 의무 지급분이라 명세서가 있는데 마지막달 3개월째는 권고이기에 급여명세서가 없는데........................그럼 복직해서 4개월 다닌 급여명세서가 필요한걸까요?ㅠㅠㅠ"
육아휴직 분할사용,"지금 5주차 서비스업 직장맘인데요 단축근무 신청은 했고, 육아휴직을 언제부터 써야할까 고민중인데 지금 다니고 있는 매장이 11월에 폐업을 할수도 안할수도 있는 상태에서 어차피
실업급여 받으면 육휴는 못쓰니까 얼른 써버리고싶은데 육아휴직을 분할로 사용하고 실업급여를 받은 후에 다음 직장에서 육아휴직을 쓸수 있을까요?"
육아휴직 출산휴가 헷갈리네요 ㅠㅠ,"아래와 같이 육아휴직, 출산휴가 쓰려고 해요.
출산예정일은 7월 16일입니다.
5/12 ~ 5/14 : 연차 3일 사용
5/15 ~ 6/14 : 산전 육아휴직 30일 사용
6/15 ~ 7/15 : 산전 출산휴가 30일 사용
7/16 ~ 9/13 : 산후 출산휴가 60일 사용
9/14 ~ 8/14 : 산후 육아휴직 335일 사용
8/17~ 8/25 : 연차 7일 사용
질문)
1. 육아휴직을 나눠서 사용하니 2번 신청 하는 게 맞을까요?
2. 육아휴직 개시일에 신청해야하는 건 없나요? 회사에 요청하거나.
급여 신청은 개시일 담달부터 1개월 단위로 신청으로 알고 있는데, 개시일 혹은 전에 신청해야하는 건 없을까 궁금해요.
3. 2번 질문과 동일하게 출산휴가도 해야하는 게 없을까요?"
육아로 인한 퇴사,"제곧내 입니다ㅠㅠ
회사를 다니다가 회사내에 있는 자회사로 넘어갔고,
사실 회사 내에서 옮기는게 불가능한데
임신 준비할꺼라는 사실을 알고도 스카웃해주어 이직하여 다니게 되었어요
이직 1개월 만에 임신을 했고 8월 출산이였는데,
임신했다는 이유만으로 주는 그런 압박이 너무 심했어요
그래서 5월달에 육아휴직을 땡겨서 시작을 했구요
1년 3개월이니 8월에 복직인데 이제 복직여부를 확인한다고 연락이 왔네요
현재 남편이 월-토 근무,다른지역으로 출근중이예요
일주일마다 주간 야간도 하구요
가족들도 다 다른지역에 있다보니 애기를 봐줄사람도 없을뿐더러 어린이집도 대기상태입니다
사실 빨리보내더라도 8월생이다 보니 돌 지나 9월로 대기 걸어두긴 했구요 ㅠㅠ
육아로 인해 퇴사를 해야할거 같다고만 말하면
회사에서 받아줄까요?
안그래도 그전에 너무 아니꼽께 바라봐준 시선이 있던터라 아무것도 받아들여주지 않을거 같은 느낌이예요
육아로 인한 퇴사확인서에 부서이동거부,무급휴직 거부, 단축근무 거부 이런게 사실 받아들여져야?
퇴사 확인서를 써줄까요?ㅠㅠ
카톡이 와있는데 안읽고 있어요 엉엉 ㅜㅜ
다짜고짜 퇴사한다고 하면 안될거 같기도 하고
저런 이유를 먼저 얘기해봐야할까요??
부서이동은 사실 어디 할곳은 없고
단축근무야 9-16시 정도일텐데(어린이집은 대기)
집에서 사무실까지 왕복2시간이고 단축근무도 의미 없는거 같고요
잘 아시는분들 도와주세요 ㅠㅠ"
육아기 단축근무 시간 변경 강요,"육아휴직을 마치고 복직한지 얼마안된 초보워킹맘(?)입니다
저희팀원분들은 기본적으로 8시간 근무를 하고
저는 6시간 단축 근무 신청하고 근무 진행중입니다.
사실 단축 근무 신청전에 회사랑 단축근무 시간에 대해 논의를 하고 사용했으면 제일 베스트인데, 제 사정상 양가 부모님 도움 불가, 어린이집 연장반도 바로 사용은 어려웠어서 6시간 근무 후 아이 하원(정규반 하원 시간)을 해야 하여 정규반 하원 시간에 맞게 단축근무를 하게 됬습니다.
어쨌든 승인 요청되었으니 그 시간 내에 근무를 하고 있는데 다른 시간대에 근무해야만 가능한 업무를 자꾸 주시네요..
그래서 팀은 굴러가야 하니 그 업무를 하는 날에는 시간대를 옮기기로 하고, 아이도 어린이집 연장반에 맡겼다가 찾아오기로 얘기가 끝났는데, 이 업무를 받으니 다른 날도 근무 시간을 옮기는거에 대해 생각해봐라. 상반기는 이렇게 하더라도 하반기때는 아이가 조금 더 클테니 단축근무 시간을 1시간만 줄여서 7시간 근무하는걸 고려해봐라. 회사는 개인적인 사정을 봐주는 곳이 아니다. 이렇게하면 팀으로써 같이 일하는것이 힘들것같다 하시네요.
저는 상황이 안되니 죄송하지만 거기까진 어렵다고 계속 이야기하는 중이고, 조금 지나면 또 다른 걸 계속 얘기하시네요..
이게 계속 반복되니 회사에 출근하는것 자체도 눈치보이고, 업무하는 내내 두근거리고 불안해요ㅠㅠ
육아기 단축근무 쓰시는 분들은 무탈하게 사용 중이실까요??"
무급 육아휴직 연차개수 궁금🥹,"안녕하세요!
제가 육아휴직 1년3개월쓰고 이어서 25.2.13~25.6.22까지 무급 휴직을 썼는데요...
저희 회사는 10/1 기준으로 연차가 발생하는데,, 이경우에 복직하면 연차가 몇개 생기는건가요?ㅠㅠ 복잡하네요
저는 입사 10년차에요!"
출산휴가 육아휴직 기간 계산 맞는지 봐주세요 ㅎㅎ,"둥이맘이라 30주 부터 출산휴가를 내려고 하는데요!
2025년6월9일 부터 출산휴가를 내면
주말,공휴일 포함 120일 후인
2025년10월6일 까지가 출산휴가 맞나요!?
그리고 10월7일부터 10월9일 까지는 공휴일이니까
육아휴직을 10월 10일부터 시작해도 되는건가요??
2025년10월10일부터 1년 육아휴직을하면
2026년10월9일까지 육아휴직 기간이고
월요일인 2026년10월12일에 복귀하면 되는건가요?
총무팀에 말하기 전에 저도 잘 알고 신청해야 할 것 같아서 문의드려요ㅠㅡㅠ ㅎㅎㅎ"
공무원맘 복직 전에 아이 연장보육 신청시 서류,"안녕하세요. 공무원인데 현재 육아휴직중이고 7월 초 복직인데 한달전에는 연장보육 가능하다고 하는데 재직증명서랑 복직예정증명서가 필요한거 같던데 시청에서는 복직예정증명서라는건 발급할 서류가 없다네요?
혹시 어떤 서류로 연장보육 신청하셨을까요?
조언부탁드려요."
실업급여,"회사에서 육아휴직 9개월요청했는데 받아주지않아 2달줄여 7개월쉬고 복직을앞두고있는데 출근시간8시 퇴근 6시 남편은 서울이 본사고 대구서일하긴하는데 주에 2ㅡ3일은 서울서 일보고 자고내려오거든요
그래서등원은 거의 제몫인데 실업급여요청했는데 안된다고 하시고ㅠ 둘째는 8개월어린이집 보내긴한데 6시반까지 적응도 힘들어한다그래서ㅠ
지금은 3시하원 하거든요
육아단축도 2시간 해주신다는데 애들보통등원이 9시인지라 사실 출근한시간. 퇴근 한시간 한다고해서 드라마틱 하지않더라구요 이런경우 실업급여가 가능할까요"
