,Source,Target,Weight
0,포함,임신중,5
1,포함,공휴일,14
2,포함,계산,28
3,포함,출산휴가90,3
4,포함,한번,11
5,포함,주말,14
6,포함,4개월,3
7,임신중,공휴일,1
8,임신중,계산,4
9,임신중,출산휴가90,4
10,임신중,한번,9
11,임신중,주말,1
12,임신중,4개월,2
13,공휴일,계산,25
14,공휴일,출산휴가90,3
15,공휴일,한번,3
16,공휴일,주말,16
17,공휴일,4개월,1
18,계산,출산휴가90,16
19,계산,한번,43
20,계산,주말,21
21,계산,4개월,4
22,출산휴가90,한번,3
23,출산휴가90,주말,1
24,출산휴가90,4개월,2
25,한번,주말,11
26,한번,4개월,4
27,주말,4개월,1
28,상황,아이,31
29,상황,33,6
30,상황,입금,2
31,상황,남편,36
32,상황,제,3
33,아이,33,8
34,아이,입금,4
35,아이,남편,45
36,아이,제,7
37,33,입금,6
38,33,남편,89
39,33,제,25
40,입금,남편,7
41,입금,제,2
42,남편,제,25
43,복직,돈,44
44,복직,사용,165
45,복직,연차,100
46,복직,2023년,27
47,복직,발생,33
48,복직,28일,15
49,복직,2022년,11
50,복직,22년,30
51,복직,출근,39
52,복직,90일,51
53,복직,12개월,29
54,복직,근무,96
55,돈,사용,26
56,돈,연차,25
57,돈,2023년,6
58,돈,발생,12
59,돈,28일,3
60,돈,2022년,4
61,돈,22년,4
62,돈,출근,6
63,돈,90일,6
64,돈,12개월,4
65,돈,근무,17
66,사용,연차,142
67,사용,2023년,38
68,사용,발생,39
69,사용,28일,16
70,사용,2022년,25
71,사용,22년,34
72,사용,출근,25
73,사용,90일,91
74,사용,12개월,41
75,사용,근무,103
76,연차,2023년,40
77,연차,발생,71
78,연차,28일,7
79,연차,2022년,19
80,연차,22년,25
81,연차,출근,21
82,연차,90일,88
83,연차,12개월,13
84,연차,근무,64
85,2023년,발생,19
86,2023년,28일,8
87,2023년,2022년,29
88,2023년,22년,3
89,2023년,출근,7
90,2023년,90일,38
91,2023년,12개월,5
92,2023년,근무,16
93,발생,28일,2
94,발생,2022년,9
95,발생,22년,8
96,발생,출근,6
97,발생,90일,17
98,발생,12개월,2
99,발생,근무,19
100,28일,2022년,7
101,28일,22년,3
102,28일,출근,5
103,28일,90일,9
104,28일,12개월,5
105,28일,근무,3
106,2022년,22년,3
107,2022년,출근,3
108,2022년,90일,14
109,2022년,12개월,3
110,2022년,근무,10
111,22년,출근,5
112,22년,90일,16
113,22년,12개월,5
114,22년,근무,20
115,출근,90일,12
116,출근,12개월,4
117,출근,근무,15
118,90일,12개월,15
119,90일,근무,32
120,12개월,근무,10
121,복직,승진,14
122,복직,둘째,111
123,복직,나중,50
124,복직,생각,123
125,복직,선택,14
126,복직,첫째,83
127,복직,회사,256
128,복직,복잡,6
129,복직,계획,43
130,승진,둘째,4
131,승진,나중,2
132,승진,생각,10
133,승진,선택,1
134,승진,첫째,5
135,승진,회사,14
136,승진,복잡,2
137,승진,계획,9
138,둘째,나중,20
139,둘째,생각,35
140,둘째,선택,4
141,둘째,첫째,195
142,둘째,회사,89
143,둘째,복잡,2
144,둘째,계획,21
145,나중,생각,31
146,나중,선택,2
147,나중,첫째,12
148,나중,회사,42
149,나중,복잡,4
150,나중,계획,10
151,생각,선택,8
152,생각,첫째,25
153,생각,회사,133
154,생각,복잡,7
155,생각,계획,27
156,선택,첫째,3
157,선택,회사,12
158,선택,복잡,1
159,선택,계획,2
160,첫째,회사,69
161,첫째,복잡,1
162,첫째,계획,18
163,회사,복잡,12
164,회사,계획,71
165,복잡,계획,4
166,3개월,아이,25
167,3개월,사용,106
168,3개월,1달,7
169,3개월,12개월,36
170,3개월,중간,10
171,3개월,가능,52
172,3개월,남편,89
173,아이,사용,44
174,아이,1달,2
175,아이,12개월,7
176,아이,중간,1
177,아이,가능,35
178,사용,1달,14
179,사용,중간,14
180,사용,가능,159
181,사용,남편,77
182,1달,12개월,4
183,1달,중간,2
184,1달,가능,6
185,1달,남편,2
186,12개월,중간,5
187,12개월,가능,19
188,12개월,남편,27
189,중간,가능,8
190,중간,남편,3
191,가능,남편,55
192,사용,4대보험,4
193,사용,출산,193
194,사용,회사,216
195,사용,신청,133
196,사용,담당자,14
197,사용,요청,14
198,4대보험,출산,16
199,4대보험,회사,21
200,4대보험,신청,18
201,4대보험,담당자,3
202,4대보험,요청,3
203,출산,회사,226
204,출산,신청,129
205,출산,담당자,15
206,출산,요청,16
207,회사,신청,332
208,회사,담당자,20
209,회사,요청,47
210,신청,담당자,25
211,신청,요청,23
212,담당자,요청,3
213,이직,상황,9
214,이직,복직,26
215,이직,준비,5
216,이직,퇴사처리,3
217,이직,퇴사,21
218,이직,복직한지,1
219,이직,회사,37
220,이직,이야기,3
221,이직,출휴,2
222,상황,복직,68
223,상황,준비,7
224,상황,퇴사처리,7
225,상황,퇴사,33
226,상황,복직한지,2
227,상황,회사,94
228,상황,이야기,13
229,상황,출휴,9
230,복직,준비,13
231,복직,퇴사처리,11
232,복직,퇴사,94
233,복직,복직한지,8
234,복직,이야기,29
235,복직,출휴,24
236,준비,퇴사처리,1
237,준비,퇴사,4
238,준비,복직한지,1
239,준비,회사,21
240,준비,이야기,3
241,준비,출휴,4
242,퇴사처리,퇴사,15
243,퇴사처리,복직한지,1
244,퇴사처리,회사,15
245,퇴사처리,이야기,4
246,퇴사처리,출휴,2
247,퇴사,복직한지,3
248,퇴사,회사,132
249,퇴사,이야기,12
250,퇴사,출휴,12
251,복직한지,회사,7
252,복직한지,이야기,1
253,복직한지,출휴,1
254,회사,이야기,44
255,회사,출휴,56
256,이야기,출휴,4
257,한달,첫달,1
258,한달,신청,69
259,첫달,신청,10
260,산전육아휴직,날짜,40
261,산전육아휴직,연차,21
262,산전육아휴직,하루,2
263,산전육아휴직,산후육아휴직,29
264,날짜,연차,43
265,날짜,하루,8
266,날짜,산후육아휴직,11
267,연차,하루,9
268,연차,산후육아휴직,4
269,하루,산후육아휴직,2
270,포함,육아휴직기간,3
271,포함,복직,33
272,포함,사용,37
273,포함,2024년,4
274,포함,2023년,8
275,포함,2022년,4
276,포함,퇴사,7
277,포함,입사,4
278,포함,출산,41
279,포함,퇴직금,11
280,육아휴직기간,복직,22
281,육아휴직기간,사용,26
282,육아휴직기간,2024년,3
283,육아휴직기간,2023년,9
284,육아휴직기간,2022년,5
285,육아휴직기간,퇴사,8
286,육아휴직기간,입사,3
287,육아휴직기간,출산,18
288,육아휴직기간,퇴직금,8
289,복직,2024년,14
290,복직,입사,18
291,복직,출산,136
292,복직,퇴직금,30
293,사용,2024년,20
294,사용,퇴사,38
295,사용,입사,19
296,사용,퇴직금,11
297,2024년,2023년,27
298,2024년,2022년,5
299,2024년,퇴사,1
300,2024년,입사,1
301,2024년,출산,13
302,2024년,퇴직금,1
303,2023년,퇴사,3
304,2023년,입사,3
305,2023년,출산,34
306,2023년,퇴직금,4
307,2022년,퇴사,4
308,2022년,입사,4
309,2022년,출산,18
310,2022년,퇴직금,3
311,퇴사,입사,13
312,퇴사,출산,43
313,퇴사,퇴직금,34
314,입사,출산,18
315,입사,퇴직금,5
316,출산,퇴직금,14
317,제출,본인,3
318,제출,현재,2
319,제출,한번,16
320,제출,계획,10
321,제출,1개월,7
322,제출,고용노동부,22
323,제출,출산,36
324,제출,회사,111
325,제출,출산육아휴직,2
326,제출,확인,26
327,본인,현재,1
328,본인,한번,4
329,본인,계획,2
330,본인,1개월,1
331,본인,고용노동부,3
332,본인,출산,7
333,본인,회사,15
334,본인,출산육아휴직,3
335,본인,확인,5
336,현재,한번,10
337,현재,계획,3
338,현재,1개월,5
339,현재,고용노동부,1
340,현재,출산,21
341,현재,회사,36
342,현재,출산육아휴직,1
343,현재,확인,3
344,한번,계획,20
345,한번,1개월,12
346,한번,고용노동부,6
347,한번,출산,57
348,한번,회사,72
349,한번,출산육아휴직,4
350,한번,확인,18
351,계획,1개월,7
352,계획,고용노동부,6
353,계획,출산,64
354,계획,출산육아휴직,2
355,계획,확인,8
356,1개월,고용노동부,8
357,1개월,출산,23
358,1개월,회사,29
359,1개월,출산육아휴직,2
360,1개월,확인,5
361,고용노동부,출산,20
362,고용노동부,회사,54
363,고용노동부,출산육아휴직,2
364,고용노동부,확인,15
365,출산,출산육아휴직,10
366,출산,확인,48
367,회사,출산육아휴직,20
368,회사,확인,96
369,출산육아휴직,확인,5
370,4개월,10개월,1
371,4개월,서류,2
372,4개월,사정,2
373,4개월,중간,2
374,4개월,6개월,12
375,4개월,연장,6
376,4개월,신청,11
377,4개월,가능,13
378,4개월,답변,4
379,10개월,서류,5
380,10개월,사정,1
381,10개월,중간,2
382,10개월,6개월,7
383,10개월,연장,7
384,10개월,신청,9
385,10개월,가능,7
386,10개월,답변,3
387,서류,사정,1
388,서류,중간,3
389,서류,6개월,8
390,서류,연장,7
391,서류,신청,82
392,서류,가능,22
393,서류,답변,13
394,사정,중간,1
395,사정,6개월,11
396,사정,연장,2
397,사정,신청,14
398,사정,가능,9
399,사정,답변,3
400,중간,6개월,4
401,중간,연장,6
402,중간,신청,14
403,중간,답변,6
404,6개월,연장,71
405,6개월,신청,71
406,6개월,가능,64
407,6개월,답변,31
408,연장,신청,32
409,연장,가능,33
410,연장,답변,7
411,신청,가능,129
412,신청,답변,46
413,가능,답변,53
414,돈,진행,4
415,돈,처리,4
416,돈,육아휴직출산휴가,1
417,돈,출산예정일,7
418,돈,눈치,4
419,돈,기간,16
420,돈,퇴사,11
421,돈,고민,21
422,돈,산전육아휴직,5
423,돈,업무,4
424,돈,휴직기간,2
425,돈,부분,6
426,돈,회사,46
427,돈,퇴직금,8
428,진행,처리,4
429,진행,육아휴직출산휴가,1
430,진행,출산예정일,4
431,진행,눈치,1
432,진행,기간,9
433,진행,퇴사,5
434,진행,고민,6
435,진행,산전육아휴직,5
